MonthYear_Date,ActionGeo_CountryCode,count
201709,CW,337
201505,BX,5955
201511,SC,292
201610,PU,257
201701,PA,945
201606,CE,18695
201609,SU,16739
201602,MN,652
201509,BN,2781
201604,LG,2495
201610,UY,2049
201703,SV,124
201709,MB,171
201607,TO,561
201504,AM,32430
201607,PG,429
201610,VT,1424
201706,RN,25
201506,BD,2037
201612,SC,79
201609,CQ,51
201502,PM,1319
201608,SF,78293
201506,CO,7883
201708,HA,5186
201603,RB,6644
201705,UK,288542
201706,GR,17788
201511,QA,10972
201605,SU,14999
201605,GT,3560
201612,GH,25518
201709,SI,1185
201603,IV,7734
201705,HO,2585
201607,PF,245
201610,JM,10708
201505,TH,38205
201601,BN,2180
201610,HR,3619
201502,CN,63
201508,FG,77
201507,MK,2758
201701,MD,2982
201509,MO,5831
201709,JE,3261
201704,SY,184264
201704,JO,13562
201706,KZ,10297
201604,LU,3183
201504,AF,44843
201603,MB,121
201709,HR,2462
201708,LO,1972
201704,GB,270
201705,HR,2883
201705,ET,10019
201709,CG,1159
201505,CD,3539
201708,SM,40
201506,CS,2081
201506,MT,6184
201504,BP,899
201504,GK,1047
201601,PU,185
201705,AV,224
201605,SC,231
201506,GK,878
201607,WQ,6
201702,NF,5
201508,SW,16377
201508,RP,58714
201502,MO,1583
201701,UK,313551
201608,LA,6009
201703,NI,150024
201611,TU,80719
201708,RS,114026
201708,SP,51970
201706,PL,12853
201509,BX,3793
201503,PG,25
201705,GA,4788
201510,JO,20839
201606,BO,8143
201612,RO,7689
201608,AR,7076
201704,NU,1778
201506,RO,9083
201509,TO,949
201504,PF,31
201702,VQ,913
201702,NS,370
201604,IR,78560
201607,VT,1703
201605,MN,1144
201505,MR,811
201505,CA,115652
201706,LG,2471
201601,TZ,8134
201505,EC,3112
201605,VQ,804
201607,SV,81
201708,LU,1297
201609,LT,1309
201708,GB,409
201506,WZ,1791
201509,MH,217
201506,HQ,113
201507,SM,74
201507,GP,74
201502,UZ,1572
201608,NR,2575
201702,PP,2901
201507,TH,30962
201603,AM,13913
201707,VT,1861
201706,JE,5577
201506,CA,118537
201701,WE,10083
201512,NP,14571
201509,GM,99427
201509,RQ,3415
201703,AY,875
201609,BG,32275
201503,RO,9201
201606,AC,930
201612,MN,685
201601,AF,65564
201604,GI,986
201607,EK,439
201505,GY,6059
201704,MP,1101
201504,GI,703
201603,LU,2247
201707,HR,3566
201512,AG,5006
201503,VE,13800
201705,BR,19927
201701,HQ,20
201606,JO,15187
201609,BN,3806
201709,SG,1367
201709,AE,10430
201605,LG,3042
201606,CG,1897
201604,GQ,2302
201503,AY,930
201605,EK,822
201509,MA,907
201506,NG,5410
201506,TO,569
201510,KR,322
201605,LS,200
201608,KR,259
201606,NF,38
201502,MV,2071
201701,AU,10277
201701,CI,12158
201701,IC,3262
201608,EG,32958
201702,ZA,6636
201507,ZA,9740
201512,SY,168948
201707,US,1545765
201707,MY,28571
201511,CO,8138
201606,IV,2373
201606,ST,990
201606,WS,2487
201603,PA,767
201601,LY,18681
201601,HA,6010
201504,GH,22479
201610,OD,6502
201505,HK,7343
201611,FG,66
201703,AU,10968
201510,TH,21583
201612,AF,49288
201704,AO,3259
201509,GA,4401
201705,RW,6836
201708,MD,2621
201510,BL,2416
201504,AG,5138
201503,FG,69
201609,MD,2439
201609,GP,66
201607,MB,139
201608,MB,118
201509,IM,76
201507,RN,39
201609,WE,7470
201610,NR,1447
201605,QA,11878
201504,RS,102530
201510,FR,79628
201602,MK,7531
201509,GB,444
201511,TH,22221
201511,CI,6855
201605,BC,4379
201502,SU,5455
201610,NO,12924
201609,MU,4340
201601,BK,1053
201705,BK,818
201610,FG,83
201506,TD,5230
201608,FG,90
201709,GV,1448
201606,NZ,26925
201606,TN,908
201601,RN,118
201705,UV,1311
201706,IS,95724
201702,LI,6489
201509,NP,22075
201601,CG,1240
201702,MD,2434
201506,MU,5255
201708,PU,157
201502,AN,14
201508,NC,105
201503,TL,56
201502,PC,10
201702,LQ,2
201608,FR,86690
201603,FR,107073
201507,TS,17179
201512,AF,76224
201708,AE,15131
201706,BO,8033
201511,NZ,32331
201705,PP,3075
201510,TD,4908
201611,MU,6213
201602,HU,8680
201605,NG,5218
201605,NU,1333
201709,US,1224842
201709,WE,3201
201612,CG,4088
201610,JO,12703
201703,FM,271
201705,GK,941
201606,OC,370
201510,SV,150
201604,CW,559
201505,PG,381
201508,BX,5433
201507,OS,2435
201703,LI,6104
201602,TW,11704
201604,IT,51529
201705,MN,1616
