MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201508,03,EI,2709
201611,01,NO,1505
201509,01,CJ,314
201610,01,EZ,1014
201708,01,BC,702
201611,02,TD,499
201701,01,EK,160
201505,02,CO,602
201505,03,KU,881
201505,02,NU,92
201507,01,GA,942
201510,03,PL,1086
201601,02,IC,142
201609,03,DR,215
201602,01,NR,517
201706,02,FJ,546
201504,03,TI,275
201502,01,CE,1202
201602,02,ES,387
201508,02,PM,261
201504,03,JM,1024
201509,03,PP,373
201707,03,CJ,70
201704,03,SG,118
201704,02,UV,64
201502,02,LI,271
201609,02,CN,17
201504,01,VQ,84
201608,02,LG,74
201511,01,NC,25
201507,02,,11709
201509,01,KS,2620
201601,02,LH,155
201607,03,GG,344
201606,01,MN,162
201610,02,CE,1366
201506,01,ES,233
201612,03,BF,327
201604,03,AO,299
201607,02,AG,220
201612,02,NH,33
201510,01,TO,110
201611,02,MK,169
201611,03,SG,236
201608,01,LH,269
201611,03,GL,81
201611,03,IV,100
201702,02,HO,136
201504,03,BA,663
201505,01,GL,83
201703,03,BH,295
201502,03,RO,324
201601,02,RE,14
201612,03,AL,229
201704,03,CF,153
201612,02,AO,209
201508,03,PP,289
201604,02,MJ,35
201605,03,GK,106
201612,02,ST,79
201504,03,BX,312
201507,03,BX,334
201507,03,GY,424
201510,01,SM,10
201510,03,BP,102
201611,01,FO,8
201506,02,AC,56
201506,01,GL,151
201512,03,NC,14
201605,01,NF,8
201503,02,AN,11
201605,02,SH,2
201505,03,GZ,83
201502,01,MB,4
201506,03,AQ,16
201502,01,VC,16
201508,18,AF,2182
201508,20,LY,25
201608,18,RS,1512
201706,19,IT,1495
201707,18,VM,498
201510,19,EG,2816
201702,18,GZ,55
201605,18,AF,2207
201606,18,GR,277
201612,19,GZ,252
201609,19,OD,856
201607,19,CI,236
201607,20,IS,147
201607,18,KN,213
201704,19,BG,1802
201607,19,AJ,941
201611,19,PP,61
201612,18,IS,1977
201605,19,RI,121
201605,19,CJ,34
